"Identifier","geslacht","leeftijd","LR","analist","oogkleur"
"A001","M",20,"L","9308","blauw"
"A001","M",20,"R","9308","blauw"
"A001","M",20,"L","2193","blauw"
"A001","M",20,"R","2193","blauw"
"A001","M",20,"L","5609","blauw"
"A001","M",20,"R","5609","blauw"
"A001","M",20,"L","8705","blauw"
"A001","M",20,"R","8705","blauw"
"A002","F",19,"L","9308","hazel"
"A002","F",19,"R","9308","hazel"
"A002","F",19,"L","2193","hazel"
"A002","F",19,"R","2193","hazel"
"A002","F",19,"L","5609","hazel"
"A002","F",19,"R","5609","hazel"
"A002","F",19,"L","8705","groen"
"A002","F",19,"R","8705","groen"
"A003","F",22,"L","9308","bruin"
"A003","F",22,"R","9308","bruin"
"A003","F",22,"L","2193","bruin"
"A003","F",22,"R","2193","bruin"
"A003","F",22,"L","5609","bruin"
"A003","F",22,"R","5609","bruin"
"A003","F",22,"L","8705","bruin"
"A003","F",22,"R","8705","bruin"
"A004","M",20,"L","9308","blauw"
"A004","M",20,"R","9308","blauw"
"A004","M",20,"L","2193","blauw"
"A004","M",20,"R","2193","blauw"
"A004","M",20,"L","5609","blauw"
"A004","M",20,"R","5609","blauw"
"A004","M",20,"L","8705","blauw"
"A004","M",20,"R","8705","blauw"
"A005","M",17,"L","9308","bruin"
"A005","M",17,"R","9308","bruin"
"A005","M",17,"L","2193","bruin"
"A005","M",17,"R","2193","bruin"
"A005","M",17,"L","5609","bruin"
"A005","M",17,"R","5609","bruin"
"A005","M",17,"L","8705","bruin"
"A005","M",17,"R","8705","bruin"
"A006","M",20,"L","9308","blauw"
"A006","M",20,"R","9308","blauw"
"A006","M",20,"L","2193","blauw"
"A006","M",20,"R","2193","blauw"
"A006","M",20,"L","5609","blauw"
"A006","M",20,"R","5609","blauw"
"A006","M",20,"L","8705","blauw"
"A006","M",20,"R","8705","blauw"
"A007","M",25,"L","9308","hazel"
"A007","M",25,"R","9308","hazel"
"A007","M",25,"L","2193","hazel"
"A007","M",25,"R","2193","hazel"
"A007","M",25,"L","5609","hazel"
"A007","M",25,"R","5609","hazel"
"A007","M",25,"L","8705","bruin"
"A007","M",25,"R","8705","bruin"
"A008","M",18,"L","9308","blauw"
"A008","M",18,"R","9308","blauw"
"A008","M",18,"L","2193","hazel"
"A008","M",18,"R","2193","hazel"
"A008","M",18,"L","5609","blauw"
"A008","M",18,"R","5609","blauw"
"A008","M",18,"L","8705","blauw"
"A008","M",18,"R","8705","blauw"
"A009","M",18,"L","9308","blauw"
"A009","M",18,"R","9308","blauw"
"A009","M",18,"L","2193","blauw"
"A009","M",18,"R","2193","blauw"
"A009","M",18,"L","5609","blauw"
"A009","M",18,"R","5609","blauw"
"A009","M",18,"L","8705","blauw"
"A009","M",18,"R","8705","blauw"
"A010","F",23,"L","9308","blauw"
"A010","F",23,"R","9308","blauw"
"A010","F",23,"L","2193","blauw"
"A010","F",23,"R","2193","blauw"
"A010","F",23,"L","5609","-"
"A010","F",23,"R","5609","-"
"A010","F",23,"L","8705","blauw"
"A010","F",23,"R","8705","blauw"
"A011","F",20,"L","9308","bruin"
"A011","F",20,"R","9308","bruin"
"A011","F",20,"L","2193","-"
"A011","F",20,"R","2193","-"
"A011","F",20,"L","5609","bruin"
"A011","F",20,"R","5609","bruin"
"A011","F",20,"L","8705","bruin"
"A011","F",20,"R","8705","bruin"
"A012","F",20,"L","9308","-"
"A012","F",20,"R","9308","-"
"A012","F",20,"L","2193","bruin"
"A012","F",20,"R","2193","bruin"
"A012","F",20,"L","5609","bruin"
"A012","F",20,"R","5609","bruin"
"A012","F",20,"L","8705","bruin"
"A012","F",20,"R","8705","bruin"
"A013","M",21,"L","9308","blauw"
"A013","M",21,"R","9308","blauw"
"A013","M",21,"L","2193","blauw"
"A013","M",21,"R","2193","blauw"
"A013","M",21,"L","5609","blauw"
"A013","M",21,"R","5609","blauw"
"A013","M",21,"L","8705","-"
"A013","M",21,"R","8705","-"
"A014","M",19,"L","9308","bruin"
"A014","M",19,"R","9308","bruin"
"A014","M",19,"L","2193","bruin"
"A014","M",19,"R","2193","bruin"
"A014","M",19,"L","5609","hazel"
"A014","M",19,"R","5609","hazel"
"A014","M",19,"L","8705","bruin"
"A014","M",19,"R","8705","bruin"
"A015","F",19,"L","9308","blauw"
"A015","F",19,"R","9308","blauw"
"A015","F",19,"L","2193","blauw"
"A015","F",19,"R","2193","blauw"
"A015","F",19,"L","5609","blauw"
"A015","F",19,"R","5609","blauw"
"A015","F",19,"L","8705","blauw"
"A015","F",19,"R","8705","blauw"
"A016","F",18,"L","9308","blauw"
"A016","F",18,"R","9308","blauw"
"A016","F",18,"L","2193","blauw"
"A016","F",18,"R","2193","blauw"
"A016","F",18,"L","5609","blauw"
"A016","F",18,"R","5609","blauw"
"A016","F",18,"L","8705","blauw"
"A016","F",18,"R","8705","blauw"
"A017","M",17,"L","9308","blauw"
"A017","M",17,"R","9308","blauw"
"A017","M",17,"L","2193","blauw"
"A017","M",17,"R","2193","blauw"
"A017","M",17,"L","5609","blauw"
"A017","M",17,"R","5609","blauw"
"A017","M",17,"L","8705","blauw"
"A017","M",17,"R","8705","blauw"
"A018","M",19,"L","9308","blauw"
"A018","M",19,"R","9308","blauw"
"A018","M",19,"L","2193","blauw"
"A018","M",19,"R","2193","blauw"
"A018","M",19,"L","5609","blauw"
"A018","M",19,"R","5609","blauw"
"A018","M",19,"L","8705","blauw"
"A018","M",19,"R","8705","blauw"
"A019","M",18,"L","9308","bruin"
"A019","M",18,"R","9308","bruin"
"A019","M",18,"L","2193","bruin"
"A019","M",18,"R","2193","bruin"
"A019","M",18,"L","5609","bruin"
"A019","M",18,"R","5609","bruin"
"A019","M",18,"L","8705","bruin"
"A019","M",18,"R","8705","bruin"
"A020","F",19,"L","9308","blauw"
"A020","F",19,"R","9308","blauw"
"A020","F",19,"L","2193","blauw"
"A020","F",19,"R","2193","blauw"
"A020","F",19,"L","5609","blauw"
"A020","F",19,"R","5609","blauw"
"A020","F",19,"L","8705","blauw"
"A020","F",19,"R","8705","blauw"
"A021","M",20,"L","9308","blauw"
"A021","M",20,"R","9308","blauw"
"A021","M",20,"L","2193","bruin"
"A021","M",20,"R","2193","bruin"
"A021","M",20,"L","5609","blauw"
"A021","M",20,"R","5609","blauw"
"A021","M",20,"L","8705","groen"
"A021","M",20,"R","8705","groen"
"A022","F",21,"L","9308","bruin"
"A022","F",21,"R","9308","bruin"
"A022","F",21,"L","2193","bruin"
"A022","F",21,"R","2193","bruin"
"A022","F",21,"L","5609","bruin"
"A022","F",21,"R","5609","bruin"
"A022","F",21,"L","8705","bruin"
"A022","F",21,"R","8705","bruin"
"A023","F",18,"L","9308","bruin"
"A023","F",18,"R","9308","bruin"
"A023","F",18,"L","2193","bruin"
"A023","F",18,"R","2193","bruin"
"A023","F",18,"L","5609","bruin"
"A023","F",18,"R","5609","bruin"
"A023","F",18,"L","8705","bruin"
"A023","F",18,"R","8705","bruin"
"A024","F",21,"L","9308","blauw"
"A024","F",21,"R","9308","blauw"
"A024","F",21,"L","2193","blauw"
"A024","F",21,"R","2193","blauw"
"A024","F",21,"L","5609","blauw"
"A024","F",21,"R","5609","blauw"
"A024","F",21,"L","8705","blauw"
"A024","F",21,"R","8705","blauw"
"A025","F",19,"L","9308","blauw"
"A025","F",19,"R","9308","blauw"
"A025","F",19,"L","2193","blauw"
"A025","F",19,"R","2193","blauw"
"A025","F",19,"L","5609","blauw"
"A025","F",19,"R","5609","blauw"
"A025","F",19,"L","8705","blauw"
"A025","F",19,"R","8705","blauw"
"A026","F",20,"L","9308","blauw"
"A026","F",20,"R","9308","blauw"
"A026","F",20,"L","2193","blauw"
"A026","F",20,"R","2193","blauw"
"A026","F",20,"L","5609","blauw"
"A026","F",20,"R","5609","blauw"
"A026","F",20,"L","8705","groen"
"A026","F",20,"R","8705","groen"
"A027","F",20,"L","9308","groen"
"A027","F",20,"R","9308","groen"
"A027","F",20,"L","2193","groen"
"A027","F",20,"R","2193","groen"
"A027","F",20,"L","5609","groen"
"A027","F",20,"R","5609","groen"
"A027","F",20,"L","8705","blauw"
"A027","F",20,"R","8705","blauw"
"A028","F",19,"L","9308","blauw"
"A028","F",19,"R","9308","blauw"
"A028","F",19,"L","2193","blauw"
"A028","F",19,"R","2193","blauw"
"A028","F",19,"L","5609","groen"
"A028","F",19,"R","5609","groen"
"A028","F",19,"L","8705","blauw"
"A028","F",19,"R","8705","blauw"
"A029","F",23,"L","9308","hazel"
"A029","F",23,"R","9308","hazel"
"A029","F",23,"L","2193","hazel"
"A029","F",23,"R","2193","hazel"
"A029","F",23,"L","5609","hazel"
"A029","F",23,"R","5609","hazel"
"A029","F",23,"L","8705","bruin"
"A029","F",23,"R","8705","bruin"
"A030","F",20,"L","9308","blauw"
"A030","F",20,"R","9308","blauw"
"A030","F",20,"L","2193","blauw"
"A030","F",20,"R","2193","blauw"
"A030","F",20,"L","5609","blauw"
"A030","F",20,"R","5609","blauw"
"A030","F",20,"L","8705","blauw"
"A030","F",20,"R","8705","blauw"
"A031","F",19,"L","9308","groen"
"A031","F",19,"R","9308","groen"
"A031","F",19,"L","2193","bruin"
"A031","F",19,"R","2193","bruin"
"A031","F",19,"L","5609","blauw"
"A031","F",19,"R","5609","blauw"
"A031","F",19,"L","8705","blauw"
"A031","F",19,"R","8705","blauw"
"A032","M",21,"L","9308","bruin"
"A032","M",21,"R","9308","bruin"
"A032","M",21,"L","2193","groen"
"A032","M",21,"R","2193","groen"
"A032","M",21,"L","5609","groen"
"A032","M",21,"R","5609","groen"
"A032","M",21,"L","8705","bruin"
"A032","M",21,"R","8705","bruin"
"A033","M",20,"L","9308","blauw"
"A033","M",20,"R","9308","blauw"
"A033","M",20,"L","2193","blauw"
"A033","M",20,"R","2193","blauw"
"A033","M",20,"L","5609","groen"
"A033","M",20,"R","5609","groen"
"A033","M",20,"L","8705","blauw"
"A033","M",20,"R","8705","blauw"
"A034","F",20,"L","9308","blauw"
"A034","F",20,"R","9308","blauw"
"A034","F",20,"L","2193","blauw"
"A034","F",20,"R","2193","blauw"
"A034","F",20,"L","5609","blauw"
"A034","F",20,"R","5609","blauw"
"A034","F",20,"L","8705","blauw"
"A034","F",20,"R","8705","blauw"
"A035","M",18,"L","9308","bruin"
"A035","M",18,"R","9308","bruin"
"A035","M",18,"L","2193","bruin"
"A035","M",18,"R","2193","bruin"
"A035","M",18,"L","5609","bruin"
"A035","M",18,"R","5609","bruin"
"A035","M",18,"L","8705","bruin"
"A035","M",18,"R","8705","bruin"
"A036","M",20,"L","9308","blauw"
"A036","M",20,"R","9308","blauw"
"A036","M",20,"L","2193","blauw"
"A036","M",20,"R","2193","blauw"
"A036","M",20,"L","5609","blauw"
"A036","M",20,"R","5609","blauw"
"A036","M",20,"L","8705","blauw"
"A036","M",20,"R","8705","blauw"
"A037","M",21,"L","9308","bruin"
"A037","M",21,"R","9308","bruin"
"A037","M",21,"L","2193","bruin"
"A037","M",21,"R","2193","bruin"
"A037","M",21,"L","5609","bruin"
"A037","M",21,"R","5609","bruin"
"A037","M",21,"L","8705","bruin"
"A037","M",21,"R","8705","bruin"
"A038","F",19,"L","9308","hazel"
"A038","F",19,"R","9308","hazel"
"A038","F",19,"L","2193","hazel"
"A038","F",19,"R","2193","hazel"
"A038","F",19,"L","5609","hazel"
"A038","F",19,"R","5609","hazel"
"A038","F",19,"L","8705","hazel"
"A038","F",19,"R","8705","hazel"
"A039","M",23,"L","9308","bruin"
"A039","M",23,"R","9308","bruin"
"A039","M",23,"L","2193","bruin"
"A039","M",23,"R","2193","bruin"
"A039","M",23,"L","5609","bruin"
"A039","M",23,"R","5609","bruin"
"A039","M",23,"L","8705","bruin"
"A039","M",23,"R","8705","bruin"
"A040","M",28,"L","9308","groen"
"A040","M",28,"R","9308","groen"
"A040","M",28,"L","2193","groen"
"A040","M",28,"R","2193","groen"
"A040","M",28,"L","5609","groen"
"A040","M",28,"R","5609","groen"
"A040","M",28,"L","8705","groen"
"A040","M",28,"R","8705","groen"
"A041","F",25,"L","9308","blauw"
"A041","F",25,"R","9308","blauw"
"A041","F",25,"L","2193","blauw"
"A041","F",25,"R","2193","blauw"
"A041","F",25,"L","5609","blauw"
"A041","F",25,"R","5609","blauw"
"A041","F",25,"L","8705","blauw"
"A041","F",25,"R","8705","blauw"
"A042","F",15,"L","9308","blauw"
"A042","F",15,"R","9308","blauw"
"A042","F",15,"L","2193","blauw"
"A042","F",15,"R","2193","blauw"
"A042","F",15,"L","5609","blauw"
"A042","F",15,"R","5609","blauw"
"A042","F",15,"L","8705","blauw"
"A042","F",15,"R","8705","blauw"
"A043","F",16,"L","9308","bruin"
"A043","F",16,"R","9308","bruin"
"A043","F",16,"L","2193","bruin"
"A043","F",16,"R","2193","bruin"
"A043","F",16,"L","5609","bruin"
"A043","F",16,"R","5609","bruin"
"A043","F",16,"L","8705","bruin"
"A043","F",16,"R","8705","bruin"
"A044","F",15,"L","9308","bruin"
"A044","F",15,"R","9308","bruin"
"A044","F",15,"L","2193","bruin"
"A044","F",15,"R","2193","bruin"
"A044","F",15,"L","5609","bruin"
"A044","F",15,"R","5609","bruin"
"A044","F",15,"L","8705","bruin"
"A044","F",15,"R","8705","bruin"
"A045","F",20,"L","9308","blauw"
"A045","F",20,"R","9308","blauw"
"A045","F",20,"L","2193","groen"
"A045","F",20,"R","2193","groen"
"A045","F",20,"L","5609","blauw"
"A045","F",20,"R","5609","blauw"
"A045","F",20,"L","8705","blauw"
"A045","F",20,"R","8705","blauw"
"A046","F",23,"L","9308","bruin"
"A046","F",23,"R","9308","bruin"
"A046","F",23,"L","2193","hazel"
"A046","F",23,"R","2193","hazel"
"A046","F",23,"L","5609","bruin"
"A046","F",23,"R","5609","bruin"
"A046","F",23,"L","8705","bruin"
"A046","F",23,"R","8705","bruin"
"A047","F",19,"L","9308","hazel"
"A047","F",19,"R","9308","hazel"
"A047","F",19,"L","2193","hazel"
"A047","F",19,"R","2193","hazel"
"A047","F",19,"L","5609","groen"
"A047","F",19,"R","5609","groen"
"A047","F",19,"L","8705","blauw"
"A047","F",19,"R","8705","blauw"
"A048","F",18,"L","9308","blauw"
"A048","F",18,"R","9308","blauw"
"A048","F",18,"L","2193","hazel"
"A048","F",18,"R","2193","hazel"
"A048","F",18,"L","5609","hazel"
"A048","F",18,"R","5609","hazel"
"A048","F",18,"L","8705","hazel"
"A048","F",18,"R","8705","hazel"
"A049","M",23,"L","9308","bruin"
"A049","M",23,"R","9308","bruin"
"A049","M",23,"L","2193","bruin"
"A049","M",23,"R","2193","bruin"
"A049","M",23,"L","5609","bruin"
"A049","M",23,"R","5609","bruin"
"A049","M",23,"L","8705","bruin"
"A049","M",23,"R","8705","bruin"
"A050","M",25,"L","9308","bruin"
"A050","M",25,"R","9308","bruin"
"A050","M",25,"L","2193","bruin"
"A050","M",25,"R","2193","bruin"
"A050","M",25,"L","5609","bruin"
"A050","M",25,"R","5609","bruin"
"A050","M",25,"L","8705","bruin"
"A050","M",25,"R","8705","bruin"
"A051","M",20,"L","9308","bruin"
"A051","M",20,"R","9308","bruin"
"A051","M",20,"L","2193","bruin"
"A051","M",20,"R","2193","bruin"
"A051","M",20,"L","5609","bruin"
"A051","M",20,"R","5609","bruin"
"A051","M",20,"L","8705","bruin"
"A051","M",20,"R","8705","bruin"
"A052","M",19,"L","9308","blauw"
"A052","M",19,"R","9308","blauw"
"A052","M",19,"L","2193","blauw"
"A052","M",19,"R","2193","blauw"
"A052","M",19,"L","5609","blauw"
"A052","M",19,"R","5609","blauw"
"A052","M",19,"L","8705","blauw"
"A052","M",19,"R","8705","blauw"
"A053","F",21,"L","9308","blauw"
"A053","F",21,"R","9308","blauw"
"A053","F",21,"L","2193","blauw"
"A053","F",21,"R","2193","blauw"
"A053","F",21,"L","5609","blauw"
"A053","F",21,"R","5609","blauw"
"A053","F",21,"L","8705","blauw"
"A053","F",21,"R","8705","blauw"
"A054","F",22,"L","9308","blauw"
"A054","F",22,"R","9308","blauw"
"A054","F",22,"L","2193","blauw"
"A054","F",22,"R","2193","blauw"
"A054","F",22,"L","5609","groen"
"A054","F",22,"R","5609","groen"
"A054","F",22,"L","8705","blauw"
"A054","F",22,"R","8705","blauw"
"A055","F",26,"L","9308","bruin"
"A055","F",26,"R","9308","bruin"
"A055","F",26,"L","2193","bruin"
"A055","F",26,"R","2193","bruin"
"A055","F",26,"L","5609","bruin"
"A055","F",26,"R","5609","bruin"
"A055","F",26,"L","8705","bruin"
"A055","F",26,"R","8705","bruin"
"A056","M",28,"L","9308","blauw"
"A056","M",28,"R","9308","blauw"
"A056","M",28,"L","2193","groen"
"A056","M",28,"R","2193","groen"
"A056","M",28,"L","5609","groen"
"A056","M",28,"R","5609","groen"
"A056","M",28,"L","8705","groen"
"A056","M",28,"R","8705","groen"
"A057","M",24,"L","9308","blauw"
"A057","M",24,"R","9308","blauw"
"A057","M",24,"L","2193","blauw"
"A057","M",24,"R","2193","blauw"
"A057","M",24,"L","5609","blauw"
"A057","M",24,"R","5609","blauw"
"A057","M",24,"L","8705","blauw"
"A057","M",24,"R","8705","blauw"
"A058","M",22,"L","9308","bruin"
"A058","M",22,"R","9308","bruin"
"A058","M",22,"L","2193","bruin"
"A058","M",22,"R","2193","bruin"
"A058","M",22,"L","5609","bruin"
"A058","M",22,"R","5609","bruin"
"A058","M",22,"L","8705","bruin"
"A058","M",22,"R","8705","bruin"
"A059","F",21,"L","9308","blauw"
"A059","F",21,"R","9308","blauw"
"A059","F",21,"L","2193","blauw"
"A059","F",21,"R","2193","blauw"
"A059","F",21,"L","5609","blauw"
"A059","F",21,"R","5609","blauw"
"A059","F",21,"L","8705","bruin"
"A059","F",21,"R","8705","bruin"
"A060","F",22,"L","9308","blauw"
"A060","F",22,"R","9308","blauw"
"A060","F",22,"L","2193","blauw"
"A060","F",22,"R","2193","blauw"
"A060","F",22,"L","5609","blauw"
"A060","F",22,"R","5609","blauw"
"A060","F",22,"L","8705","blauw"
